nm0085226	Cilla Black	1943	2015	soundtrack,actress	tt0088486,tt0166923,tt0086810,tt0182566
nm0091380	Carl Boese	1887	1958	director,writer,producer	tt0011237,tt0024099,tt0030165,tt0031399
nm0091415	Hermann Böttcher	1866	1935	actor,cinematographer	tt0441298,tt0012806,tt0018656,tt0024798
nm0094047	Steve Bond	1953	\N	actor	tt0056758,tt0086793,tt0233657,tt0095867
nm0094799	Giulio Bonnard	1885	1972	composer	tt0035709,tt0035131,tt0025827,tt0040235
nm0094801	Mario Bonnard	1889	1965	director,actor,writer	tt0034085,tt0129950,tt0054422,tt0051342
nm0095487	Bernice Boone	\N	\N	writer,miscellaneous	tt0025301,tt0020171,tt0030359
nm0096820	Vojkan Borisavljevic	1947	\N	composer	tt0187231,tt0933016,tt0415313,tt6319010
nm0096846	Oleg Borisov	1929	1994	actor,director	tt0104776,tt0053258,tt0087878,tt0096121
nm0097008	Susanne Bormann	1979	\N	actress	tt0325734,tt2359935,tt0765432,tt0136423
nm0097278	Henryk Borowski	1910	1991	actor	tt0172017,tt0091290,tt0069492,tt0054004
nm0097727	Henri Bosc	1884	1967	actor	tt0487510,tt0030252,tt0192580,tt0473198
nm0099244	Régine Bouet	\N	\N	actress	tt0192084,tt0923839,tt0812225,tt0201839
nm0106785	Edmund Breese	1871	1936	actor,writer,director	tt0023969,tt0022268,tt0023038,tt0020629
nm0109140	Israel Bright	\N	\N	composer,soundtrack,actor	tt1620790,tt1290398,tt0295281,tt0316218
nm0110805	Brendan Broderick	\N	\N	assistant_director,writer,actor	tt0192701,tt0112594,tt0140519,tt0109301
nm0110819	Joe Broderick	\N	\N	camera_department,cinematographer	tt0112022,tt0099703,tt0395843,tt0115325
nm0113768	James Brown	1933	2006	soundtrack,actor,composer	tt0418279,tt1853728,tt0317248,tt0120735
nm0113954	Karl Brown	1896	1990	writer,cinematographer,camera_department	tt0018446,tt0022895,tt0034336,tt0035640
nm0115306	Erika Broyer	\N	\N	actress,soundtrack	tt0230624,tt1109557,tt6145930,tt0218801
nm0115597	Virginia Bruce	1910	1982	actress,soundtrack	tt0027387,tt0032637,tt0027698,tt0035173
nm0115874	Pierre Brulatour	\N	\N	actor	tt0101514,tt0088863,tt0375104,tt0123003
nm0120006	A. Bulla	\N	\N	cinematographer	tt0291425,tt0201711,tt0291260
nm0120241	Mirko Bulovic	1930	2009	actor	tt0213881,tt0111646,tt0174108,tt0201199
nm0120802	Jesse Burch	1970	\N	actor	tt0377109,tt0408790,tt0413099,tt1606378
nm0121195	Germain Burger	\N	1985	cinematographer,director,producer	tt0201751,tt0201580,tt0165357,tt0148063
nm0122991	C.C. Burr	1891	1956	producer,miscellaneous,director	tt0023610,tt0024688,tt0023609,tt0023075
nm0123399	Barbara Bursztynowicz	1954	\N	actress	tt0182607,tt0081003,tt5920980,tt5662990
nm0123972	Ernst Busch	1900	1980	actor,music_department,soundtrack	tt0053846,tt0023104,tt0022204,tt0022017
nm0124079	Timothy Busfield	1957	\N	actor,producer,director	tt0097351,tt0088000,tt0200276,tt0092492
nm0130977	Néstor Calvo	\N	\N	cinematographer,camera_department	tt0212311,tt1825755,tt1249368,tt4480494
nm0136025	Kostas Karagiannis	\N	1993	director,writer,producer	tt0204836,tt0232025,tt0074769,tt0202216
nm0136344	José Cardella	\N	\N	editor	tt0121631,tt0048721,tt0199455,tt0200468
nm0138624	Matthew Carnahan	1961	\N	writer,producer,director	tt1797404,tt0118730,tt0157245,tt0496275
nm0139159	Sandra Caron	\N	\N	actress,writer	tt0061591,tt0062739,tt0064133,tt0098774
nm0139279	Betty Carpenter	1899	1982	actress	tt0013000,tt1495666,tt0009059,tt0012017
nm0140504	Leo Carrillo	1881	1961	actor,soundtrack	tt0036261,tt0025464,tt0025948,tt0042093
nm0144819	Jack Castello	\N	\N	actor	tt0018793,tt0183960,tt0134662,tt0020177
nm0147445	Eloísa Cañizares	\N	2002	actress	tt0278214,tt0310936,tt0185958,tt0201702
nm0150670	Émilien Champetier	\N	\N	director,actor,writer	tt0191107,tt0202044,tt0201605,tt0191203
nm0151359	Erin Chandler	\N	\N	actress,writer,producer	tt0201737,tt0316693,tt0151301,tt0109278
nm0151610	Norman 'Chubby' Chaney	1914	1936	actor	tt0021339,tt0021275,tt0020671,tt0019715
nm0153002	Craig Charles	1964	\N	actor,soundtrack,writer	tt0369011,tt0200659,tt0094535,tt0053494
nm0153581	Ron Chartier	\N	\N	actor,producer,production_manager	tt0311863,tt0409459,tt0081291,tt0120667
nm0155545	Bugao Cheng	\N	\N	director,writer	tt0192270,tt0191889,tt0192826,tt0192186
nm0155599	Mark Cheng	1964	\N	actor	tt0491244,tt0090952,tt1010012,tt0499556
nm0158166	Boris Chirkov	1901	1982	actor,director	tt0032104,tt0027235,tt0038566,tt0029740
nm0160522	Vasilis Hristomoglou	\N	\N	cinematographer,camera_department,producer	tt0230938,tt0068939,tt1168671,tt0201976
nm0160899	Wai-Lim Chu	\N	\N	actor,camera_department	tt0111835,tt0095542,tt0100047,tt0123328
nm0161598	Yelena Chyornaya	\N	\N	actress	tt0271467,tt0062017
nm0162801	Vincent Cirrincione	\N	\N	producer,manager,executive	tt0407936,tt0914863,tt0840979,tt0172348
nm0163782	Cindy Clark	\N	\N	producer,assistant_director,camera_department	tt0138956,tt0120172,tt3077336,tt0364842
nm0163892	Duane Clark	\N	\N	director,producer,assistant_director	tt0171311,tt0120172,tt0106418,tt0181876
nm0163988	Clark Gregg	1962	\N	actor,writer,director	tt1024715,tt2364582,tt0462128,tt0848228
nm0165872	Siobhan Cleary	\N	\N	composer,actress,producer	tt0193859,tt0120174,tt2211684,tt1806820
nm0166393	Anne de Clercq	\N	\N	director,writer,cinematographer	tt4768902,tt1470993,tt3666734,tt1422745
nm0169807	Tani Cohen	\N	\N	producer,miscellaneous,actress	tt0207524,tt0160338,tt0238552,tt0262776
nm0169834	Yogi Cohen	\N	\N	director,producer	tt0201738
nm0172812	Wilson Collison	1893	1941	writer	tt0023382,tt0030396,tt0037421,tt0046085
nm0178114	Jackie Cooper	1922	2011	actor,director,producer	tt0022397,tt0078346,tt0021730,tt0081573
nm0178961	Jean Coquelin	1865	1944	actor	tt0031309,tt0028847,tt0015530,tt0020814
nm0181871	Nelo Cosimi	\N	1945	actor,director,writer	tt0190575,tt0190324,tt0190394,tt0190560
nm0183857	Jerome Courtland	1926	2012	director,actor,producer	tt0041163,tt0081856,tt0078638,tt0081858
nm0186322	Chilton Crane	\N	\N	actress	tt0304023,tt0309593,tt1661820,tt1306980
nm0186962	Sophia Crawford	1966	\N	stunts,actress,miscellaneous	tt0112216,tt0103460,tt0118276,tt0106064
nm0191330	Karl Cukmajer	\N	\N	writer	tt0201704
nm0191584	Jeremiah Cullinane	\N	\N	director,producer,assistant_director	tt1806820,tt0193859,tt0120174,tt0128145
nm0192083	Andrea Cunderlíková	1952	\N	actress	tt0175576,tt0179328,tt0281104,tt0122654
nm0193015	Richard C. Currier	1892	1984	editor,editorial_department,director	tt0278213,tt0019688,tt0023251,tt2380776
nm0193638	Jan Curík	1924	1996	cinematographer,writer,director	tt0175743,tt0066516,tt0058259,tt0065241
nm0194119	Djurdjija Cvetic	1942	2015	actress	tt0228981,tt0180882,tt0200143,tt0192346
nm0194283	Hartmut Cyriacks	\N	\N	writer	tt0273835,tt0130248,tt0120175,tt4070102
nm0195679	Mme. d'Esterre	\N	\N	actress	tt0251405,tt0201580,tt0321935,tt0207448
nm0196613	Nikos Dadinopoulos	1944	2012	actor	tt0255087,tt0252817,tt1569439,tt0199072
nm0196992	Eva Dahlbeck	1920	2008	actress,soundtrack,writer	tt0052017,tt0048641,tt0047167,tt0048272
nm0197929	Giannis Dalianidis	1923	2010	director,writer,actor	tt0136211,tt0254042,tt0230505,tt0230172
nm0199753	Daniela	\N	\N	actress	tt0185975,tt0261360,tt0201736
nm0201013	Clara Darcey-Roche	\N	\N	actress	tt0192681,tt0201514,tt0190585,tt0016112
nm0201231	Gérard Darier	\N	\N	actor	tt0158532,tt0094828,tt1480072,tt0315152
nm0202209	Ewald Daub	1889	1946	cinematographer,miscellaneous	tt0036818,tt0034457,tt0027351,tt0032672
nm0202562	Alice Davenport	1864	1936	actress	tt0004499,tt0003104,tt0004284,tt0003760
nm0206526	Miriam Di San Servolo	1923	1991	actress,costume_designer	tt0038509,tt0035516,tt0034456,tt0043056
nm0210114	Marivaux	1688	1763	writer	tt0119617,tt3166602,tt0233709,tt0253840
nm0210458	Suzana de Moraes	1940	2015	actress,director,assistant_director	tt0110514,tt0081722,tt0188132,tt1235054
nm0211143	Fiore De Rienzo	\N	\N	actor,assistant_director,director	tt0092017,tt0387960,tt2057425,tt0128051
nm0215360	Paulette del Baze	\N	\N	actress	tt0201751
nm0216616	Floren Delbene	\N	\N	actor,writer	tt0122901,tt0041279,tt0201658,tt0178268
nm0217285	Maurizio Dell'Orco	\N	\N	cinematographer,camera_department	tt0101467,tt0092017,tt0409285,tt0099519
nm0217848	Maly Delschaft	1898	1995	actress	tt0015064,tt0169889,tt0189915,tt0016481
nm0221835	Manos Destounis	1937	\N	actor,director,writer	tt1745761,tt0067853,tt1147657,tt3919316
nm0223616	France Dhélia	1894	1964	actress	tt0201815,tt0307400,tt0199893,tt0240049
nm0225118	Luigi Diberti	1939	\N	actor	tt0107485,tt0110116,tt0117658,tt0357031
nm0225810	Pierre Didier	\N	\N	editor,actor	tt0480703,tt0105683,tt0098986,tt0348874
nm0227234	Danny Dimbort	\N	\N	producer,miscellaneous,executive	tt1320253,tt0462499,tt1764651,tt0993846
nm0228147	Mark A.Z. Dippé	\N	\N	visual_effects,producer,director	tt0096874,tt0103064,tt0107290,tt0120177
nm0229308	Slobodan Djuric	1944	1976	actor	tt0170361,tt0199640,tt0243360,tt0218441
nm0230956	Ido Dolev	\N	\N	art_director,production_designer,art_department	tt0317842,tt0833422,tt1226753,tt1676680
nm0231286	François Domange	\N	\N	actor,miscellaneous	tt0098596,tt0113133,tt0105682,tt0090206
nm0233981	Mikhail Doronin	1880	\N	actor,director,writer	tt0025871,tt2424366,tt0246864,tt0005915
nm0234500	Alain Dostie	1943	\N	cinematographer,camera_department,director	tt0494834,tt0120802,tt0108328,tt0208629
nm0235389	Jean Doumanian	\N	\N	producer,miscellaneous,writer	tt1322269,tt0072562,tt0109348,tt0113819
nm0236279	Arthur Conan Doyle	1859	1930	writer,producer,actor	tt0988045,tt1515091,tt0240278,tt3168230
